time,id,username,text
2021-11-19 10:27:23+00:00,1461642250547437571,Samuel Aset Manajemen,"b'Atau kamu beli paket yang tidak sepenuhnya kamu bisa manfaatkan, misalnya beli paket pulsa atua data untuk keluarga padahal hanya kamu sendiri yang pakai. Bocor halus kalau masih di bawah 5% dari pendapatan kamu, masih bisa ditoleransi tapi coba total apakah total nilai'"
2021-11-19 10:15:00+00:00,1461639134758551556,tirtoid,b'Anggota Komisi I DPR RI Irine Yusiana Roba Putri menilai kebocoran data milik Polri menegaskan pentingnya penyelesaian pembahasan RUU Perlindungan Data Pribadi dan RUU Keamanan dan Ketahanan Siber.\n\nhttps://t.co/zZ26e2bNUU'
2021-11-19 09:59:47+00:00,1461635303999885318,bebrayan,b'@mizzzaenab @kartikaicha18 @SantaPradana @kompascom Tapi pemerintah gak berani bantah dan buka bukaan data. Bahkan bocor tuh lari ke China\n\nhttps://t.co/E6DamdgdUs'
2021-11-19 09:50:31+00:00,1461632973137137667,detikinet,"b'#Terpopuler Kebocoran data pribadi kembali terjadi, nahasnya kali ini menimpa kepolisian. Diduga ribuan data anggota polisi bocor dan dibagikan secara gratis di internet. https://t.co/AVunGI91nV'"
2021-11-19 09:09:34+00:00,1461622668180922371,blue,"b""gedeg banget telfon mulu gonta ganti nomor, pas di cek emang penipu. emang bener, data udah gaada yang ngga bocor :')) https://t.co/IfDhiI0ygr"""
2021-11-19 08:58:20+00:00,1461619841513652224,Jawa Pos,"b'Polri Jadi Korban Peretasan, Data Pribadi hingga Pelanggaran Anggota Bocor https://t.co/V8RlueguIH'"
2021-11-19 08:03:20+00:00,1461605999702282244,Jawa Pos,"b'Situs Diretas Lagi, Data sampai Pelanggaran Anggota Polri Bocor https://t.co/6cN6Fmrw1C'"
2021-11-19 07:34:47+00:00,1461598814960177152,Jawa Pos,"b'Polri Diretas Lagi, Data Pribadi sampai Pelanggaran Anggota Bocor https://t.co/6CkjWk9xIz'"
2021-11-19 07:26:27+00:00,1461596717288067072,Sekar Sayers,"b'@aeribase Kalian gak takut nyetak kartu vaksin dipercetakan gitu? Kan di kartu vaksin ada NIKnya, ntar kalo didaftarin pinjol gimana? Nanti teriak2 data bocor, padahal kalian sendiri yg bocorin'"
2021-11-19 06:41:10+00:00,1461585321095688192,CardanaMH,"b'bantu retweet\n\nsejak muncul lagi hesteg gblk #JejakMesumMRS yang jelas jelas itu fitnah\n\ntapi apa yang terjadi setelah ada yang debunk?. ya bener, orang yang bilang itu palsu kena diskriminasi\n\naneh aja, kapolda data polri bocor cuman bisa plonga plongo, giliran malah dimajuin https://t.co/ifvRPV66I0'"
2021-11-19 04:34:13+00:00,1461553372918530048,Urbanasia,b'Kasus kebocoran data kembali terjadi di instansi pemerintah. Kali ini giliran data personil Polri yang bocor!\nhttps://t.co/2RVluo8HR6'
2021-11-19 04:05:49+00:00,1461546226982141958,Techbizid,b'Baca selengkapnya: Duh! 28.000 Data Kepolisian Bocor Diretas Hacker https://t.co/Xl8EPvGyKD'
2021-11-19 04:05:06+00:00,1461546047835045894,Eun Ji🦊𑁍,"b'@zshxxbi Itu kmren rame pas data bocor itu loh bin. Bnyak yg kyk kmuu\n\nTrus klu gk dtrma, abang2 kurirny blng ap?'"
2021-11-19 04:02:16+00:00,1461545334161563648,SUARAMERDEKA.COM,"b'Ribuan Data Personel Polri Bocor, Pakar Singgung Rendahnya Awareness https://t.co/pwXT0pTlIj'"
2021-11-19 03:59:50+00:00,1461544723118628864,Radar Banyumas,b'Data Polri Dilaporkan Bocor #Nasional https://t.co/06j5EU1lr8'
2021-11-19 03:53:57+00:00,1461543240201506823,harianSIB,b'https://t.co/3WR7gNpBug'
2021-11-19 03:42:19+00:00,1461540314523615238,gopos.id,"b'Peretas asal Brasil mengklaim telah membobol data personil Polri. Bukan hanya ribuan data pribadi, daftar pelanggaran yang dilakukan anggota Polri juga ikut bocor.\n#DataPolri\n#Hacker https://t.co/f4GTNCHQfZ'"
